SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Mon Mar 30 18:14:59 2026

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 18:14:59 pb_init:188                 Entering pb_init. cur_board = 0
(I) 18:14:59 os_count_boards:177         Registering WinDriver...
(I) 18:14:59 RegisterWinDriver:135       Using WinDriver version 1031.
(I) 18:14:59 RegisterWinDriver:151       lic.dwLicense:  0x2051dfc
(I) 18:14:59 RegisterWinDriver:152       lic.dwLicense2: 0x88
(I) 18:14:59 RegisterWinDriver:153       license setup succeeded
(I) 18:14:59 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 18:14:59 os_usb_count_devices:130    -SP9 Board Detected (pid_c1ab).
(I) 18:14:59 os_usb_count_devices:145    Device Handle=0x3d4
(I) 18:14:59 os_usb_count_devices:146    --System Path: \\?\usb#vid_0403&pid_c1ab#5&230b5917&0&2#{ae18aa60-7f6a-11d4-97dd-00010229b959}
(I) 18:14:59 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 1 Devices.
(I) 18:14:59 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 18:14:59 do_os_init:1623             do_os_init: board # 0
(I) 18:14:59 do_os_init:1624             do_os_init: num_pci_boards: 0
(I) 18:14:59 do_os_init:1625             do_os_init: num_usb_devices: 1
(I) 18:14:59 do_os_init:1635             do_os_init: initializing usb
(I) 18:14:59 usb_get_num_endpoints:434   Detected endpoints: 3
(I) 18:14:59 usb_get_friendly_name:404   Friendly Name: SpinCore Technologies, Inc. PulseBlaster
(I) 18:14:59 usb_get_driver_version:462  Driver version: 50594147
(I) 18:14:59 get_caps:22                 dev_id=0xc1ab
(I) 18:14:59 get_caps:782                found USB PulseBlaster (firmware_id=0x2103)
(I) 18:14:59 get_caps:797                pb_core_version=20090617
(I) 18:14:59 pb_start_programming:265    pb_start_programming (device=0)
(I) 18:14:59 pb_start_programming:276    pb_start_programming: Using new programming method.
(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=300.000000, flags=0x00000004
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 4000000 93.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=100700.000000, flags=0x00000000
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 0 C4AB.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=250000.000000, flags=0x00000020
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 20000000 1E845.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=75000.000000, flags=0x00000000
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 0 9279.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=50000.000000, flags=0x00000002
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 2000000 61A5.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=500000.000000, flags=0x00000022
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 22000000 3D08D.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=50000.000000, flags=0x00000002
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 2000000 61A5.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=400000.000000, flags=0x00000000
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 0 30D3D.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=50000.000000, flags=0x00000002
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 2000000 61A5.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=500000.000000, flags=0x00000022
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 22000000 3D08D.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=50000.000000, flags=0x00000002
(I) 18:14:59 pb_inst_direct:1074         pb_inst_direct: Programming DDS2 IMW: 0x20000000 0 2000000 61A5.

(I) 18:14:59 pb_inst_pbonly64:856        pb_inst_pbonly: inst=2723009265664, inst_data=0,length=25000.000000, flags=0x00000000
